Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
VIDHIING,Vidhi Specialty Food Ingredients Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
VIDYAWIRES,Vidya Wires Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
VIJIFIN,Viji Finance Limited,Financial Services,Finance,Credit Services,Banking & Finance
VIKASECO,Vikas EcoTech Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
VIKASLIFE,Vikas Lifecare Limited,Consumer Defensive,FMCG,Farm Products,FMCG
VIKRAMSOLR,Vikram Solar Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
VIKRAN,Vikran Engineering Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
VIMTALABS,Vimta Labs Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
VINATIORGA,Vinati Organics Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
VINCOFE,Vintage Coffee And Beverages Limited,Consumer Defensive,FMCG,Beverages - Non-Alcoholic,FMCG
VINDHYATEL,Vindhya Telelinks Limited,Technology,Hardware,Hardware & Networking,IT
VINEET-RE,Vineet Laboratories Limited-RE,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
VINEETLAB,Vineet Laboratories Limited,Basic Materials,Chemicals,Chemicals,Chemicals
VINNY,Vinny Overseas Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
